Country,State,City,Society,Home Page,Facebook,Email,LogoFileName,Member
DK,,Aalborg,Aalborg Blues Forum,,https://facebook.com/Aalborg-Blues-Forum-119852678027015/,,aalborg.jpg,N
AU,SA,Adelaide,Adelaide Roots and Blues Association,http://adelaiderootsandblues.org,https://facebook.com/adelaiderootsandblues,mickyoung1968@gmail.com,adelaiderootsbluesassociation.jpg,Y
US,Alabama,Northport,Alabama Blues Project,http://alabamablues.org,https://facebook.com/alabamabluesproject,info@alabamablues.org,alabamabluesproject.jpg,Y
US,Alaska,Anchorage,Alaska Blues Society,,https://facebook.com/alaskabluessociety,jennabourgeois69@gmail.com,alaska.jpg,N
US,Florida,Saint Augustine,Ancient City Blues Society,,https://facebook.com/Ancient-City-Blues-Society-291954124174682,ancientcityblues@yahoo.com,ancientcity.jpg,N
US,Michigan,Ann Arbor,Ann Arbor Blues Society,http://a2bluessociety.com,https://facebook.com/A2Blues/,,annarbor.jpg,N
US,Arkansas,Little Rock,Arkansas River Blues Society,http://arkansasriverblues.com,https://facebook.com/ArkansasRiverBluesSociety,arkansasblues@gmail.com,arkansasriverbluessociety.jpg,Y
US,Oregon,Ashland,Ashland Blues Society,http://ashlandblues.org,https://facebook.com/ashlandbluessociety/,ashlandblues@gmail.com,ashland.jpg,Y
US,Georgia,Tucker,Atlanta Blues Society,http://atlantabluessociety.org,https://facebook.com/atlantabluessociety,theatlantabluessociety@gmail.com,atlanta.jpg,Y
NZ,,Auckland,Auckland Blues Music Club,http://abmc.co.nz,https://facebook.com/auckbluesmusicclub,,auckland.jpg,Y
US,Texas,Austin,Austin Blues Society,http://austinbluessociety.org,https://facebook.com/groups/austinbluessociety/,ed.matyas@austinbluessociety.org,austin.jpg,Y
DE,,Eutin,Baltic Blues,http://bluesfest-eutin.de,https://facebook.com/Bluesfest-Eutin-1537652706508629/,kreativkonkret@t-online.de,eutin.jpg,N
US,Maryland,Baltimore,Baltimore Blues Society,http://mojoworkin.com,https://facebook.com/BaltimoreBluesSociety,bob@mojoworkin.com,baltimoreblues.jpg,Y
ID,,Bandung,Bandung Blues Society,,https://facebook.com/Bandung-Blues-Society-346751362012606,,bandung.jpg,N
ES,,Barcelona,Barcelona Blues Society,http://societatbluesbarcelona.org,https://facebook.com/societat.barcelona,info@societatbluesbarcelona.org,barcelona.jpg,Y
US,Louisiana,Baton Rouge,Baton Rouge Blues Society,http://brbluessociety.com,https://facebook.com/Baton-Rouge-Blues-Society-184691444877738/,dkling69@gmail.com,batonrouge.jpg,Y
AU,NSW,Wagga Wagga,Bidgee Blues,,https://facebook.com/bidgee.blues,,bidgee.jpg,N
US,Florida,Tallahassee,Big Bend Blues Society,http://bigbendblues.wix.com/society,https://facebook.com/Big-Bend-Blues-Society-906774669396708/,bigbendblues@yahoo.com,bigbend.jpg,N
US,Pennsylvania,Hughesville,Billtown Blues Association,http://billtownblues.org,https://facebook.com/billtownblues,bmtallman@aol.com,billtownblues.jpg,Y
US,South Dakota,Rapid City,Black Hills Blues Society,,https://facebook.com/Blackhillsblues,,blackhills.jpg,N
US,Ohio,Toledo,Black Swamp Blues Society,http://blackswampbluessociety.org,https://facebook.com/Black-Swamp-Blues-Society-211604995681680,blackswampbluessociety@gmail.com,blackswamp.jpg,Y
