Title,HomePage,Facebook,Email,Locality,AdminDistrict,CountryRegion,Latitude,Longitude,LogoFileName,BFMember
Ann Arbor Blues Society,a2bluessociety.com,facebook.com/A2Blues/,,Ann Arbor,Michigan,US,42.27,-83.8,annarbor.jpg,N
Aalborg Blues Forum,,facebook.com/Aalborg-Blues-Forum-119852678027015/,,Aalborg,,Denmark,57.02,9.83,aalborg.jpg,N
Adelaide Roots and Blues Association,adelaiderootsandblues.org,facebook.com/adelaiderootsandblues,mickyoung1968@gmail.com,Adelaide,SA,Australia,-34.92,138.56,adelaiderootsbluesassociation.jpg,Y
Alabama Blues Project,alabamablues.org,facebook.com/alabamabluesproject,info@alabamablues.org,Northport,Alabama,US,33.24,-87.59,alabamabluesproject.jpg,Y
Alaska Blues Society,,facebook.com/alaskabluessociety,jennabourgeois69@gmail.com,Anchorage,Alaska,US,61.1,-149.93,alaska.jpg,N
Ancient City Blues Society,,facebook.com/Ancient-City-Blues-Society-291954124174682,ancientcityblues@yahoo.com,Saint Augustine,Florida,US,29.9,-81.37,ancientcity.jpg,N
Arkansas River Blues Society,arkansasriverblues.com,facebook.com/ArkansasRiverBluesSociety,arkansasblues@gmail.com,Little Rock,Arkansas,US,34.75,-92.27,arkansasriverbluessociety.jpg,Y
Ashland Blues Society,ashlandblues.org,facebook.com/ashlandbluessociety/,ashlandblues@gmail.com,Ashland,Oregon,US,42.2,-122.72,ashland.jpg,Y
Atlanta Blues Society,atlantabluessociety.org,facebook.com/atlantabluessociety,theatlantabluessociety@gmail.com,Tucker,Georgia,US,33.85,-84.21,atlanta.jpg,Y
Auckland Blues Music Club,abmc.co.nz,facebook.com/auckbluesmusicclub,,Auckland,,New Zealand,-36.86,174.58,auckland.jpg,Y
Blues Association of Geneva,bagblues.ch,facebook.com/bagblues,info@bagblues.ch,Geneva,,Switzerland,46.2,6.17,bluesassociationofgeneva.jpg,N
Baltimore Blues Society,mojoworkin.com,facebook.com/BaltimoreBluesSociety,bob@mojoworkin.com,Baltimore,Maryland,US,39.29,-76.61,baltimoreblues.jpg,Y
Bandung Blues Society,,facebook.com/Bandung-Blues-Society-346751362012606,,Bandung,,Indonesia,-6.9,107.57,bandung.jpg,N
Baton Rouge Blues Society,brbluessociety.com,facebook.com/Baton-Rouge-Blues-Society-184691444877738/,,Baton Rouge,Louisiana,US,30.44,-91.24,batonrouge.jpg,Y
